time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-30 00:00:00+00:00,14,4,2,2
2026-07-31 00:00:00+00:00,11,6,0,0
2026-08-01 00:00:00+00:00,19,5,0,0
2026-08-02 00:00:00+00:00,8,4,0,0
2026-08-03 00:00:00+00:00,8,4,1,1
2026-08-04 00:00:00+00:00,9,4,1,1
2026-08-05 00:00:00+00:00,16,7,0,0
2026-08-06 00:00:00+00:00,6,1,1,1
2026-08-07 00:00:00+00:00,17,7,3,1
2026-08-08 00:00:00+00:00,1,1,1,1
2026-08-09 00:00:00+00:00,2,2,3,1
2026-08-10 00:00:00+00:00,7,3,1,1
2026-08-11 00:00:00+00:00,10,5,0,0
2026-08-12 00:00:00+00:00,15,6,0,0
