time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-23 00:00:00+00:00,6,5,5.0,2.0
2025-09-24 00:00:00+00:00,7,2,5.0,1.0
2025-09-25 00:00:00+00:00,6,6,11.0,4.0
2025-09-26 00:00:00+00:00,14,8,5.0,1.0
2025-09-27 00:00:00+00:00,13,5,3.0,2.0
2025-09-28 00:00:00+00:00,3,2,1.0,1.0
2025-09-29 00:00:00+00:00,13,8,,
2025-09-30 00:00:00+00:00,6,5,7.0,2.0
2025-10-01 00:00:00+00:00,7,3,10.0,3.0
2025-10-02 00:00:00+00:00,3,2,2.0,1.0
2025-10-03 00:00:00+00:00,11,9,21.0,4.0
2025-10-04 00:00:00+00:00,6,5,3.0,1.0
2025-10-05 00:00:00+00:00,8,5,1.0,1.0
2025-10-06 00:00:00+00:00,10,5,25.0,3.0
