time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-04 00:00:00+00:00,13,7,0,0
2026-07-05 00:00:00+00:00,9,4,2,2
2026-07-06 00:00:00+00:00,15,7,3,2
2026-07-07 00:00:00+00:00,22,8,0,0
2026-07-08 00:00:00+00:00,10,5,0,0
2026-07-09 00:00:00+00:00,15,6,5,2
2026-07-10 00:00:00+00:00,20,7,4,1
2026-07-11 00:00:00+00:00,20,8,1,1
2026-07-12 00:00:00+00:00,17,7,0,0
2026-07-13 00:00:00+00:00,21,10,2,2
2026-07-14 00:00:00+00:00,3,3,1,1
2026-07-15 00:00:00+00:00,14,5,0,0
2026-07-16 00:00:00+00:00,7,3,4,4
2026-07-17 00:00:00+00:00,2,2,2,2
