time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-16 00:00:00+00:00,19,7,5,1
2026-04-17 00:00:00+00:00,31,9,3,1
2026-04-18 00:00:00+00:00,26,8,0,0
2026-04-19 00:00:00+00:00,22,12,3,3
2026-04-20 00:00:00+00:00,61,23,2,2
2026-04-21 00:00:00+00:00,53,25,4,3
2026-04-22 00:00:00+00:00,69,24,1,1
2026-04-23 00:00:00+00:00,84,24,5,3
2026-04-24 00:00:00+00:00,55,21,12,5
2026-04-25 00:00:00+00:00,67,24,1,1
2026-04-26 00:00:00+00:00,51,14,1,1
2026-04-27 00:00:00+00:00,25,10,18,2
2026-04-28 00:00:00+00:00,15,4,0,0
2026-04-29 00:00:00+00:00,63,16,16,3
